BootstrapReplicate,AP_HRGGM,AP_LVGGM,AP_PriorCorrelation,Enrichment721_HRGGM,Enrichment721_LVGGM,Enrichment721_PriorCorrelation
50,0.271850094016287,0.182966872201361,0.199638853899307,1.49111842654947,1.10392192904767,1.31811573617633
51,0.309872347729184,0.188039512450878,0.209310686994629,1.614691776816,1.16158949250539,1.35106862958074
52,0.278173853577965,0.205843094492558,0.203466278020189,1.53230954330498,1.30163928947412,1.31811573617633
53,0.265494271684142,0.18919148472371,0.194902284699583,1.44168908644286,1.25220994936751,1.23573350266531
54,0.283038822522678,0.184178052668883,0.206214441056232,1.54878599000719,1.23573350266531,1.35106862958074
55,0.276315027022845,0.185576828242126,0.205902518168304,1.48288020319837,1.11216015239878,1.33459218287853
56,0.290507785462528,0.175458694922749,0.1992639239509,1.55702421335829,1.12863659910098,1.29340106612302
57,0.284934432322336,0.193162384216564,0.20752742179056,1.46640375649616,1.25220994936751,1.32635395952743
58,0.285216172985976,0.193713058165144,0.220841163894573,1.63116822351821,1.26868639606972,1.38402152298514
59,0.271844926452149,0.185811100716825,0.222529540830646,1.48288020319837,1.1945423859098,1.41697441638955
60,0.275477072310397,0.193606043778319,0.205975101468819,1.49935664990057,1.24397172601641,1.40049796968735
61,0.2972907908244,0.195032238005599,0.207227040305892,1.6064535534649,1.26868639606972,1.28516284277192
62,0.291921202812441,0.190932764535316,0.208118247521649,1.44168908644286,1.23573350266531,1.27692461942082
63,0.310382322521211,0.18482517853738,0.208763832454833,1.58173888341159,1.2192570559631,1.35106862958074
64,0.296329806261838,0.182950906897438,0.203701568776663,1.6229300001671,1.13687482245208,1.30163928947412
65,0.273422798588096,0.188735707268254,0.194758024748286,1.48288020319837,1.27692461942082,1.2027806092609
66,0.273997656504124,0.190113623282045,0.206569586078157,1.51583309660278,1.26044817271861,1.22749527931421
67,0.29266656753181,0.183037080626931,0.202341266073749,1.53230954330498,1.17806593920759,1.30987751282523
68,0.27075721578935,0.177690569008711,0.202370669237357,1.40049796968735,1.16158949250539,1.17806593920759
69,0.278848936177324,0.190314409191055,0.204563364442663,1.44168908644286,1.2192570559631,1.27692461942082
70,0.267610985278873,0.183209293138895,0.202399661059529,1.47464197984727,1.211018832612,1.25220994936751
71,0.265796695174592,0.193037224564939,0.198471165573434,1.43345086309176,1.25220994936751,1.26868639606972
72,0.287262150574987,0.180006604795975,0.198538417765205,1.54878599000719,1.211018832612,1.22749527931421
73,0.261215742504783,0.181134812929227,0.209441942878936,1.44992730979396,1.08744548234547,1.34283040622963
74,0.280181909556751,0.197322546837408,0.191366905024578,1.55702421335829,1.26868639606972,1.22749527931421
75,0.268110952118095,0.193509965584463,0.197357504663871,1.42521263974065,1.30163928947412,1.1863041625587
76,0.320828264758184,0.179397824736082,0.212379850244428,1.58173888341159,1.10392192904767,1.35106862958074
77,0.285747638640919,0.184443415781633,0.199773460763802,1.45816553314506,1.1863041625587,1.30987751282523
78,0.278657452158487,0.189745169524126,0.203457611226567,1.42521263974065,1.32635395952743,1.30987751282523
79,0.260044057703058,0.176472868076962,0.204278349401389,1.38402152298514,1.14511304580318,1.211018832612
80,0.309423364048193,0.190651014464498,0.206577721129223,1.614691776816,1.26044817271861,1.32635395952743
81,0.291038604802468,0.188594242244175,0.201006244387221,1.53230954330498,1.30163928947412,1.23573350266531
82,0.275101408457903,0.180786533557108,0.192521981779252,1.44992730979396,1.2027806092609,1.1863041625587
83,0.275348241096954,0.185465182638638,0.204396479577791,1.48288020319837,1.1945423859098,1.32635395952743
