Method,Permutation,MaximumSeedContrastEigenvalue,FWERThreshold
LV-GGM,130,0.00738183020631487,0.0130526397145708
LV-GGM,131,0.00279989697969086,0.0130526397145708
LV-GGM,132,0.00686048299868828,0.0130526397145708
LV-GGM,133,0.00240879699102392,0.0130526397145708
LV-GGM,134,0.00315432290337093,0.0130526397145708
LV-GGM,135,0.00172832743380664,0.0130526397145708
LV-GGM,136,0.00915373585559336,0.0130526397145708
LV-GGM,137,0.0031064571050443,0.0130526397145708
LV-GGM,138,0.00288804009816876,0.0130526397145708
LV-GGM,139,0.00775093322042544,0.0130526397145708
LV-GGM,140,0.00159208374677793,0.0130526397145708
LV-GGM,141,0.00281832588521183,0.0130526397145708
LV-GGM,142,0.00627776283299214,0.0130526397145708
LV-GGM,143,0.00334952859051208,0.0130526397145708
LV-GGM,144,0.00249771567980518,0.0130526397145708
LV-GGM,145,0.00276281241987317,0.0130526397145708
LV-GGM,146,0.00563125857818655,0.0130526397145708
LV-GGM,147,0.00518755203748283,0.0130526397145708
LV-GGM,148,0.0106970661012123,0.0130526397145708
LV-GGM,149,0.00417109788124165,0.0130526397145708
LV-GGM,150,0.0034316251897448,0.0130526397145708
LV-GGM,151,0.0133541123240336,0.0130526397145708
LV-GGM,152,0.00301657482880549,0.0130526397145708
LV-GGM,153,0.00267473155865104,0.0130526397145708
LV-GGM,154,0.00345398174422575,0.0130526397145708
LV-GGM,155,0.00796700153019773,0.0130526397145708
LV-GGM,156,0.00533454129928546,0.0130526397145708
LV-GGM,157,0.00589420022217523,0.0130526397145708
LV-GGM,158,0.00347817062298616,0.0130526397145708
LV-GGM,159,0.00711124490068633,0.0130526397145708
LV-GGM,160,0.00201895839355315,0.0130526397145708
LV-GGM,161,0.00223351558055524,0.0130526397145708
LV-GGM,162,0.00541715598880655,0.0130526397145708
LV-GGM,163,0.00731751314035199,0.0130526397145708
LV-GGM,164,0.0067073303641219,0.0130526397145708
LV-GGM,165,0.00763021656684308,0.0130526397145708
LV-GGM,166,0.00354830574900444,0.0130526397145708
LV-GGM,167,0.00438126618121929,0.0130526397145708
